iter	Passed	Remaining
1100	19818	16182
1101	19841	16168
1102	19858	16150
1103	19875	16130
1104	19893	16112
1105	19913	16096
1106	19929	16076
1107	19949	16060
1108	19967	16042
1109	19988	16026
1110	20005	16008
1111	20022	15988
1112	20039	15969
1113	20061	15955
1114	20079	15937
1115	20098	15920
1116	20117	15902
1117	20138	15887
1118	20158	15870
1119	20179	15855
1120	20195	15836
1121	20215	15819
1122	20238	15804
1123	20256	15787
1124	20274	15769
1125	20293	15751
1126	20312	15734
1127	20331	15717
1128	20352	15701
1129	20371	15684
1130	20390	15667
1131	20409	15649
1132	20431	15634
1133	20450	15617
1134	20468	15599
1135	20484	15579
1136	20502	15561
1137	20522	15545
1138	20540	15527
1139	20557	15508
1140	20573	15488
1141	20586	15466
1142	20606	15450
1143	20625	15433
1144	20642	15414
1145	20664	15398
1146	20682	15381
1147	20701	15363
1148	20719	15345
1149	20737	15327
1150	20755	15309
1151	20770	15289
1152	20788	15271
1153	20807	15254
1154	20828	15238
1155	20847	15221
1156	20868	15204
1157	20891	15190
1158	20909	15172
1159	20924	15152
1160	20941	15133
1161	20962	15117
1162	20983	15101
1163	21005	15086
1164	21023	15068
1165	21042	15050
1166	21061	15033
1167	21079	15015
1168	21101	15000
1169	21122	14984
1170	21139	14965
1171	21159	14949
1172	21178	14931
1173	21196	14913
1174	21214	14894
1175	21237	14880
1176	21259	14865
1177	21279	14848
1178	21297	14830
1179	21316	14812
1180	21335	14795
1181	21353	14777
1182	21373	14761
1183	21385	14738
1184	21404	14721
1185	21419	14701
1186	21438	14683
1187	21459	14667
1188	21479	14650
1189	21498	14633
1190	21516	14615
1191	21538	14600
1192	21556	14581
1193	21576	14564
1194	21594	14547
1195	21614	14530
1196	21633	14512
1197	21652	14495
1198	21672	14478
1199	21691	14460
1200	21708	14442
1201	21726	14424
1202	21744	14406
1203	21764	14389
1204	21783	14371
1205	21803	14354
1206	21823	14338
1207	21842	14320
1208	21865	14306
1209	21882	14287
1210	21902	14269
1211	21921	14252
1212	21937	14233
1213	21956	14215
1214	21979	14200
1215	22002	14185
1216	22022	14168
1217	22041	14151
1218	22057	14132
1219	22077	14115
1220	22098	14098
1221	22118	14081
1222	22140	14066
1223	22162	14050
1224	22178	14031
1225	22192	14010
1226	22212	13993
1227	22230	13975
1228	22246	13956
1229	22264	13937
1230	22282	13920
1231	22304	13904
1232	22320	13884
1233	22335	13864
1234	22355	13847
1235	22372	13829
1236	22388	13809
